citation,artist
"Il paraît que c'est normal, est-ce que c'est moi ?
Je m'rendais même pas compte
que je vous faisais du mal, excusez-moi",Être humain
"On ne confond pas l'honneur et l'orgueil,
on a tous, dans le cœur, le rayonnement des supernovasTu peux être un acteur important du film de ma vie mais tu n'auras jamais le premier rôle",1er rôle
J'donne tout pour mon conglomérat pour que mes rats soient pros comme Era,Vinyle
"Parfois, j'me demande si j'existe vraiment, de ma vie, je n'suis qu'un spectateur. Alors j'me fais du mal mais discrètement, le psy m'a dit : C'est qu'un aspect d'ta peur. Et, quand j'ai mal, je me sens vivre un peu... Il fait nuit quand les lumières s'allument","C'est qu'un aspect d'ta peur. Et, quand j'ai mal, je me sens vivre un peu... Il fait nuit quand les lumières s'allument~NekfeuSource"
"Tu verras quand tu seras grand, tu vas apprendre, disent-ils,
expliquez-moi pourquoi, l'adolescence, ça rend si triste,
quand l'cadran s'dissipe, faut qu'on avance si vite",Rêve d'avoir des rêves
Entrer dans ce monde plat nous dessert,Humanoïde
"Aujourd'hui je ne suis pas sorti, peut être qu'il pleut",Réalité Augmentée
"Aventurier de l'inconnu, avant tu riais de l'inconnu,
avant tu riais du temps qui passe, et puis le temps est passé",Avant tu riais
"Je suis devenu celui dont aurait rêvé celui que je rêvais d'être.
Tu me suis ? Je ne veux pas me réveiller",Égérie
Je mets les femmes en confiance comme un club gay,Zone
"J'ai côtoyé des gens qui parlaient d'amitié,
mais qui n'avaient pas du tout les mêmes valeurs que moi.
Ceux qui te font rigoler quand tout va bien,
mais qui ne seront jamais là quand le malheur te noie",Mauvaise Graine
"Quand j'vois mon père, j'ai rien à lui dire j'aimerais l'prendre dans mes bras, ou peut-être que j'ai trop à lui dire, mais trop de pudeur. J'l'ai jamais vu s'plaindre, même quand il travaillait jusqu'à plus d'heure",Nekketsu
"Première contre-attaque, je marque, je marque comme Landers, Landers, j'ai le sourire d'Hisoka dans Hunter × Hunter",Menteur menteur
"On est en 2001, j'écris S-Crew dans le RER C",Squa
"Nos corps unis par cette danse que ta lumière peut apprendre à mon ombre, un jour, tu me donneras ton oui et tu prendras mon nom",Dans l'univers
Ton sourire énervé j'le connais par cœur,Galatée
J'me sens comme Maupassant quand il écrivait Le Horla,Le Horla
"Qu'est-ce qu'une ombre dans la nuit ?
Qu'est-ce que la nuit pour la mort ?
Qu'est-ce que la mort pour un Homme libre ?
Une âme libre en dehors de son corps",Mon âme
"Ton père aime critiquer les Roms,
mais tes robes viennent de chez Manoush",Princesse
J'aimais la tristesse dont tu portes les traces,Princesse de feu
"J'ai pas fait d'études, j'emmerde tes politiques, j'ai pas fait HEC,
j'ai pas b'soin d'ça pour m'exprimer quand j'vois des pauvres sur la chaussée",Humanoïde
"Mais je reste fidèle par respect, ça je l'ai juré, t'es la seule qui me paraît spéciale",Galatée
"Pour des raisons qu'on ne sait pas, un jour nos chemins se séparent",Dernier soupir
"Même quand on aime, on hésite man, on se connaît, y a rien qui nous fait plus de mal que faire du mal à ceux qu'on aime, mais on le fait quand même",à la base
"La vie n'est qu'une escale, et ton corps n'est qu'un emprunt.
Tu te plains, mais pense à la mort parce qu'elle est encore pire",Reuf
"Je me dis qu'il faut qu'on veille les uns sur les autres,
pendant que mes amis dorment autour de moi",Reuf
"Le ciel a plus d'étoiles que le drapeau américain
et les étoiles n'ont pas l'air plus grandes du haut des gratte-ciels",Elle en avait envie
"On doit être bêtes, ouais, p't-être,
mais ma plume peut clouer l'bec de Houellebecq",Tempête
"On est tous uniques, désunis par les coups subis que Satan distille",Rêve d'avoir des rêves
"J'y pensais seul la nuit sous les traits d'un jeune homme inquiet, quand la Lune dort le Soleil luit, moi je ne vois qu'elle",Dans l'univers
"On se voyait que pour coucher et pour rouler d'la beuh,
donc, si t'as souffert avec moi, c'est qu'tu l'voulais un peu",Risibles Amours
